project,precinct,building,base_surf,surf_type,surf_id,surf_area,surf_irr,surf_cx,surf_cy,surf_cz,surf_nx,surf_ny,surf_nz
jl-bahagia,prc-00,blk-27,roof-02,PV-module,137,2.584383,1648.51,123.191518,-57.289187,-58.676462,0.10655,0.137117,0.984808
jl-bahagia,prc-00,blk-27,roof-02,PV-module,138,2.584378,1648.05,122.296094,-56.593367,-58.676462,0.106549,0.137117,0.984808
jl-bahagia,prc-00,blk-27,roof-02,PV-module,139,2.584383,1651.25,121.400663,-55.897555,-58.676462,0.10655,0.137117,0.984808
jl-bahagia,prc-00,blk-27,roof-02,PV-module,140,2.584391,1641.2,120.505231,-55.201742,-58.676462,0.106549,0.137117,0.984808
jl-bahagia,prc-00,blk-27,roof-02,PV-module,141,2.584387,1647.55,119.609792,-54.505926,-58.676462,0.106549,0.137116,0.984808
jl-bahagia,prc-00,blk-27,roof-02,PV-module,142,2.584387,1646.6,118.714368,-53.81011,-58.676462,0.106549,0.137116,0.984808
jl-bahagia,prc-00,blk-27,roof-02,PV-module,143,2.584387,1643.39,117.818929,-53.114298,-58.676462,0.106549,0.137116,0.984808
jl-bahagia,prc-00,blk-27,roof-02,PV-module,144,2.584388,1641.65,116.92349,-52.418482,-58.676462,0.106549,0.137116,0.984808
jl-bahagia,prc-00,blk-27,roof-02,PV-module,145,2.584387,1639.67,116.028066,-51.722666,-58.676462,0.106549,0.137116,0.984808
jl-bahagia,prc-00,blk-27,roof-02,PV-module,146,2.584387,1634.23,115.132642,-51.02685,-58.676462,0.106549,0.137116,0.984808
jl-bahagia,prc-00,blk-27,roof-02,PV-module,147,2.584387,1642.28,114.237203,-50.331034,-58.676462,0.106549,0.137116,0.984808
jl-bahagia,prc-00,blk-27,roof-02,PV-module,148,2.584387,1634.56,113.341764,-49.635226,-58.676462,0.106549,0.137116,0.984808
jl-bahagia,prc-00,blk-27,roof-02,PV-module,149,2.584388,1651.5,112.44634,-48.939409,-58.676462,0.106549,0.137116,0.984808
jl-bahagia,prc-00,blk-27,roof-02,PV-module,150,2.584387,1641.58,111.550916,-48.243597,-58.676462,0.106549,0.137116,0.984808
jl-bahagia,prc-00,blk-27,roof-02,PV-module,151,2.584387,1636.61,110.655477,-47.547781,-58.676462,0.106549,0.137116,0.984808
jl-bahagia,prc-00,blk-27,roof-02,PV-module,152,2.584387,1636.05,109.760038,-46.851965,-58.676462,0.106549,0.137116,0.984808
jl-bahagia,prc-00,blk-27,roof-02,PV-module,153,2.584387,1636.59,108.864614,-46.156149,-58.676462,0.106549,0.137116,0.984808
jl-bahagia,prc-00,blk-27,roof-02,PV-module,154,2.584388,1629.54,107.96919,-45.460337,-58.676462,0.106549,0.137116,0.984808
jl-bahagia,prc-00,blk-27,roof-02,PV-module,155,2.58439,1600.35,89.165113,-30.848234,-58.676462,0.106549,0.137116,0.984808
jl-bahagia,prc-00,blk-27,roof-02,PV-module,156,2.584388,1620.81,88.269681,-30.152418,-58.676462,0.106549,0.137116,0.984808
jl-bahagia,prc-00,blk-27,roof-02,PV-module,157,2.584387,1614.61,87.37425,-29.456604,-58.676462,0.106549,0.137116,0.984808
jl-bahagia,prc-00,blk-27,roof-02,PV-module,158,2.584391,1631.49,81.106229,-24.585903,-58.676462,0.106549,0.137117,0.984808
jl-bahagia,prc-00,blk-27,roof-02,PV-module,159,2.584388,1645.68,80.21079,-23.890089,-58.676462,0.106549,0.137116,0.984808
jl-bahagia,prc-00,blk-27,roof-02,PV-module,160,2.584385,1638.17,79.315358,-23.194273,-58.676462,0.106549,0.137117,0.984808
jl-bahagia,prc-00,blk-27,roof-02,PV-module,161,2.584388,1641.09,78.419927,-22.498459,-58.676462,0.106549,0.137116,0.984808
jl-bahagia,prc-00,blk-27,roof-02,PV-module,162,2.584387,1638.89,77.524495,-21.802645,-58.676462,0.106549,0.137116,0.984808
jl-bahagia,prc-00,blk-27,roof-02,PV-module,163,2.584387,1641.91,76.629064,-21.106833,-58.676462,0.106549,0.137116,0.984808
jl-bahagia,prc-00,blk-27,roof-02,PV-module,164,2.584387,1643.35,75.733632,-20.411017,-58.676462,0.106549,0.137116,0.984808
jl-bahagia,prc-00,blk-27,roof-02,PV-module,165,2.584388,1645.89,74.838201,-19.715203,-58.676462,0.106549,0.137116,0.984808
jl-bahagia,prc-00,blk-27,roof-02,PV-module,166,2.584385,1648.75,73.942769,-19.019388,-58.676462,0.106549,0.137117,0.984808
jl-bahagia,prc-00,blk-27,roof-02,PV-module,167,2.584388,1648.47,73.047338,-18.323572,-58.676462,0.106549,0.137116,0.984808
jl-bahagia,prc-00,blk-27,roof-02,PV-module,168,2.584387,1640.81,72.151906,-17.627758,-58.676462,0.106549,0.137116,0.984808
jl-bahagia,prc-00,blk-27,roof-02,PV-module,169,2.584387,1642.84,71.256475,-16.931944,-58.676462,0.106549,0.137116,0.984808
jl-bahagia,prc-00,blk-27,roof-02,PV-module,170,2.584387,1645.33,70.361043,-16.23613,-58.676462,0.106549,0.137116,0.984808
